,tamanho,tempo,descricao,interacoes,reviews,state
531,1,1558598.0,3279,4,2,MERGED
532,1,13771.0,2099,3,1,MERGED
533,6,5106764.0,1927,18,4,MERGED
534,1,185763.0,2002,3,1,MERGED
535,5,840525.0,364,6,5,MERGED
536,1,93363.0,1119,8,2,MERGED
537,1,368230.0,2363,9,5,CLOSED
538,1,890141.0,1366,6,2,CLOSED
539,4,103379.0,1978,3,4,MERGED
540,74,1253060.0,1288,35,7,MERGED
541,1,128819.0,13,4,2,MERGED
542,129,3555339.0,1264,20,10,CLOSED
543,1,761121.0,2324,1,1,MERGED
544,5,37402.0,49,2,1,MERGED
545,1,299443.0,1168,7,7,MERGED
546,1,693975.0,3035,1,1,MERGED
547,9,1123291.0,27,6,2,CLOSED
548,1,848856.0,2792,1,1,MERGED
549,1,29921.0,2311,1,3,MERGED
550,10,743486.0,2442,14,5,MERGED
551,1,23108.0,263,2,1,MERGED
552,1,299277.0,2314,5,2,MERGED
553,7,174947.0,2743,4,2,MERGED
554,3,3120387.0,1274,8,3,MERGED
555,1,1299057.0,2048,1,2,CLOSED
556,4,565249.0,2843,11,12,CLOSED
557,2,248142.0,228,5,5,MERGED
558,1,596438.0,2415,0,1,MERGED
559,1,498031.0,2057,0,1,MERGED
560,1,569760.0,2096,2,1,MERGED
561,3,1007139.0,1239,9,2,MERGED
562,1,534723.0,3421,1,1,MERGED
563,2,353055.0,1149,2,2,MERGED
564,1,464770.0,2040,1,1,MERGED
565,1,461072.0,1995,0,1,MERGED
566,2,620550.0,2221,4,2,CLOSED
567,1,2925794.0,2268,6,2,CLOSED
568,1,123146.0,1289,2,1,MERGED
569,1,1428180.0,2161,2,4,MERGED
570,2,271388.0,2524,0,1,MERGED
571,1,246697.0,0,2,1,MERGED
572,6,217982.0,2484,3,2,MERGED
573,1,262910.0,2095,1,1,MERGED
574,1,1317617.0,2313,16,2,MERGED
575,1,262737.0,2071,2,1,MERGED
576,1,35893.0,1926,0,1,MERGED
577,1,35703.0,31,1,1,MERGED
578,3,347090.0,1543,17,8,MERGED
579,1,116526.0,2112,5,3,MERGED
580,3,53001.0,223,0,1,MERGED
581,1,32230.0,96,0,1,MERGED
582,9,3878631.0,2177,10,28,MERGED
583,1,23373.0,2062,0,1,MERGED
584,1,8803.0,2044,1,1,MERGED
585,1,189673.0,2430,3,1,MERGED
586,2,79947.0,0,1,1,MERGED
587,67,6365608.0,504,65,6,CLOSED
588,1,675504.0,2813,1,1,MERGED
589,1,53952.0,1943,2,1,MERGED
590,1,38686.0,1926,0,1,MERGED
591,2,369706.0,2428,20,5,MERGED
592,1,166039.0,1926,6,2,MERGED
593,2,74465.0,555,0,1,MERGED
594,1,96626.0,2087,4,2,MERGED
595,1,425912.0,1103,6,12,MERGED
596,1,410291.0,2077,1,1,MERGED
597,19,18835.0,2235,2,1,MERGED
598,1,43262.0,1974,0,7,CLOSED
599,1,380431.0,2173,5,1,MERGED
600,2,283119.0,364,3,6,MERGED
601,1,959123.0,2026,2,1,MERGED
602,2,268894.0,13,2,1,MERGED
603,9,268399.0,1927,1,1,MERGED
604,1,854889.0,2037,8,2,MERGED
605,1,77530.0,2052,3,1,MERGED
606,1,674203.0,1984,3,1,MERGED
607,1,692478.0,2084,1,1,MERGED
608,16,320632.0,0,3,1,MERGED
609,1,50673.0,2240,1,1,MERGED
610,1,28853.0,1032,0,1,MERGED
611,1,16404.0,1991,0,1,MERGED
612,52,1303764.0,2020,7,1,CLOSED
613,1,203839.0,2268,7,2,MERGED
614,1,186439.0,1601,8,2,MERGED
615,1,1136085.0,2384,5,7,MERGED
616,1,424466.0,2113,0,1,MERGED
617,1,284903.0,2286,2,1,MERGED
618,1,1045310.0,2436,3,3,MERGED
619,1,411546.0,2121,3,1,MERGED
620,1,345798.0,1961,1,1,MERGED
621,1,298451.0,1954,1,1,MERGED
622,1,297975.0,2619,0,1,MERGED
623,1,866442.0,2651,4,3,MERGED
624,1,222567.0,2396,3,2,MERGED
625,1,192460.0,2263,2,1,MERGED
626,7,359564.0,13,4,2,MERGED
627,1,29147.0,2318,0,1,MERGED
628,1,26430.0,69,0,1,MERGED
629,78,770666.0,237,7,3,MERGED
630,2,180673.0,1642,5,1,MERGED
631,947,504020.0,955,3,2,CLOSED
632,1,353202.0,1907,2,2,MERGED
633,1,225545.0,2221,1,1,MERGED
634,1,209544.0,2270,2,1,MERGED
635,1,1912967.0,2557,5,3,MERGED
636,1,265174.0,2395,2,1,MERGED
637,1,10930.0,2135,4,2,MERGED
638,4,355157.0,1926,4,3,MERGED
639,1,148373.0,1943,3,3,MERGED
640,1,265344.0,29,0,2,MERGED
641,1,52268.0,32,0,1,MERGED
642,3,24174.0,1974,3,2,MERGED
643,1,3758.0,2026,2,1,MERGED
644,2,114919.0,2023,9,6,MERGED
645,1,66940.0,2115,3,1,MERGED
646,2,20869.0,2277,5,2,MERGED
647,2,1661634.0,1007,8,1,MERGED
648,1,956057.0,2040,3,3,MERGED
649,4,1635319.0,2061,11,9,MERGED
650,1,1647169.0,2011,2,2,MERGED
651,2,10997.0,2086,1,1,MERGED
652,1,566838.0,1955,3,1,MERGED
653,2,746450.0,2535,11,1,MERGED
654,3,702426.0,239,5,1,MERGED
